m_phi,Delta_phi_ini,sector
0.35,1.7,B
0.35,1.702,B
0.35,1.704,B
0.35,1.706,B
0.35,1.708,B
0.35,1.71,B
0.35,1.712,B
0.35,1.714,B
0.35,1.716,B
0.35,1.718,B
0.35,1.72,B
0.35,1.722,B
0.35,1.724,B
0.35,1.726,B
0.35,1.728,B
0.35,1.73,B
0.35,1.732,B
0.35,1.734,B
0.35,1.736,B
0.35,1.738,B
0.35,1.74,B
0.35,1.742,B
0.35,1.744,B
0.35,1.746,B
0.35,1.748,B
0.35,1.75,B
0.35,1.752,B
0.35,1.754,B
0.35,1.756,B
0.35,1.758,B
0.35,1.76,B
0.35,1.762,B
0.35,1.764,B
0.35,1.766,B
0.35,1.768,B
0.35,1.77,B
0.35,1.772,B
0.35,1.774,B
0.35,1.776,B
0.35,1.778,B
0.35,1.78,B
0.35,1.782,B
0.35,1.784,B
0.35,1.786,B
0.35,1.788,B
0.35,1.79,B
0.35,1.792,B
0.35,1.794,B
0.35,1.796,B
0.35,1.798,B
0.35,1.8,B
0.35,1.802,B
0.35,1.804,B
0.35,1.806,B
0.35,1.808,B
0.35,1.81,B
0.35,1.812,B
0.35,1.814,B
0.35,1.816,B
0.35,1.818,B
0.35,1.82,B
0.35,1.822,B
0.35,1.824,B
0.35,1.826,B
0.35,1.828,B
0.35,1.83,B
0.35,1.832,B
0.35,1.834,B
0.35,1.836,B
0.35,1.838,B
0.35,1.84,B
0.35,1.842,B
0.35,1.844,B
0.35,1.846,B
0.35,1.848,B
0.35,1.85,B
0.35,1.852,B
0.35,1.854,B
0.35,1.856,B
0.35,1.858,B
0.35,1.86,B
0.35,1.862,B
0.35,1.864,B
0.35,1.866,B
0.35,1.868,B
0.35,1.87,B
0.35,1.872,B
0.35,1.874,B
0.35,1.8760000000000001,B
0.35,1.8780000000000001,B
0.35,1.8800000000000001,B
0.35,1.8820000000000001,B
0.35,1.8840000000000001,B
0.35,1.8860000000000001,B
0.35,1.8880000000000001,B
