m_phi,k_rot,q,delta_phi_ini,sector,phi_mean_tail,phi_std_tail,traj_file
2.0,0.2,1.0,0.01,A,0.0016308248314281923,0.001681821090417739,traj_m2p00_k0p20_q1p00_d0p01.npz
2.0,0.2,1.0,1.5707963267948966,C,4.352607422249443,2.8236014828867826,traj_m2p00_k0p20_q1p00_d1p57.npz
2.0,0.2,1.0,2.827433388230814,C,4.3145627295956155,2.7783330678464546,traj_m2p00_k0p20_q1p00_d2p83.npz
2.0,0.5,1.0,0.01,C,1.2297523195461282,2.487091467679394,traj_m2p00_k0p50_q1p00_d0p01.npz
2.0,0.5,1.0,1.5707963267948966,C,4.355507780740948,2.8255963713378813,traj_m2p00_k0p50_q1p00_d1p57.npz
2.0,0.5,1.0,2.827433388230814,C,4.317463088164139,2.7803031050012486,traj_m2p00_k0p50_q1p00_d2p83.npz
3.0,0.0,1.0,0.01,C,1.8223357218651848,2.8508012504599427,traj_m3p00_k0p00_q1p00_d0p01.npz
3.0,0.0,1.0,1.5707963267948966,C,1.8554221121920529,2.808786441399178,traj_m3p00_k0p00_q1p00_d1p57.npz
3.0,0.0,1.0,2.827433388230814,C,1.8820608119248667,2.7751031999443567,traj_m3p00_k0p00_q1p00_d2p83.npz
3.0,0.1,1.0,0.01,A,0.0017388394913301674,0.00032682093955948665,traj_m3p00_k0p10_q1p00_d0p01.npz
3.0,0.1,1.0,1.5707963267948966,C,1.7941171163354803,2.779495473977056,traj_m3p00_k0p10_q1p00_d1p57.npz
3.0,0.1,1.0,2.827433388230814,C,1.8521717424816204,2.7609554386714614,traj_m3p00_k0p10_q1p00_d2p83.npz
3.0,0.2,1.0,0.01,A,0.0032656966870956484,0.0008300087686256911,traj_m3p00_k0p20_q1p00_d0p01.npz
3.0,0.2,1.0,1.5707963267948966,C,1.7328121204154427,2.7484886919440576,traj_m3p00_k0p20_q1p00_d1p57.npz
3.0,0.2,1.0,2.827433388230814,C,1.8222826731282291,2.746388937415562,traj_m3p00_k0p20_q1p00_d2p83.npz
3.0,0.5,1.0,0.01,A,0.007846267783526078,0.0024201539282941026,traj_m3p00_k0p50_q1p00_d0p01.npz
3.0,0.5,1.0,1.5707963267948966,C,1.5803130591609063,2.663203280158849,traj_m3p00_k0p50_q1p00_d1p57.npz
3.0,0.5,1.0,2.827433388230814,C,1.7326154650594767,2.7001068581419845,traj_m3p00_k0p50_q1p00_d2p83.npz
